iter	Passed	Remaining
970	108635	115124
971	108746	115011
972	108856	114897
973	108963	114780
974	109073	114666
975	109183	114552
976	109289	114435
977	109401	114323
978	109513	114211
979	109615	114089
980	109720	113970
981	109826	113852
982	109937	113739
983	110046	113625
984	110154	113509
985	110254	113385
986	110365	113272
987	110475	113159
988	110590	113050
989	110689	112925
990	110801	112814
991	110905	112693
992	111010	112575
993	111117	112459
994	111223	112341
995	111323	112217
996	111429	112099
997	111535	111982
998	111648	111872
999	111761	111761
1000	111870	111646
1001	111998	111551
1002	112119	111449
1003	112241	111347
1004	112341	111223
1005	112439	111098
1006	112542	110977
1007	112638	110850
1008	112762	110751
1009	112869	110634
1010	112978	110519
1011	113086	110404
1012	113206	110301
1013	113317	110187
1014	113431	110078
1015	113524	109948
1016	113626	109827
1017	113747	109724
1018	113846	109601
1019	113946	109477
1020	114051	109360
1021	114151	109237
1022	114251	109113
1023	114363	109002
1024	114460	108877
1025	114563	108757
1026	114679	108649
1027	114795	108542
1028	114901	108424
1029	115015	108315
1030	115116	108193
1031	115219	108074
1032	115326	107958
1033	115433	107841
1034	115547	107733
1035	115653	107615
1036	115761	107500
1037	115875	107391
1038	115989	107282
1039	116114	107182
1040	116221	107066
1041	116322	106945
1042	116445	106843
1043	116557	106733
1044	116672	106624
1045	116769	106498
1046	116890	106395
1047	117007	106288
1048	117112	106171
1049	117234	106069
1050	117345	105957
1051	117453	105841
1052	117568	105733
1053	117688	105629
1054	117792	105511
1055	117911	105405
1056	118021	105292
1057	118127	105175
1058	118232	105058
1059	118350	104952
1060	118468	104846
1061	118587	104741
1062	118702	104632
1063	118808	104516
1064	118912	104397
1065	119016	104279
1066	119139	104177
1067	119241	104057
1068	119350	103943
1069	119459	103829
1070	119560	103708
1071	119666	103591
1072	119775	103478
1073	119881	103361
1074	119987	103245
1075	120087	103123
1076	120199	103012
1077	120310	102900
1078	120426	102792
1079	120529	102672
1080	120632	102554
1081	120733	102433
1082	120840	102318
1083	120960	102213
1084	121072	102102
1085	121171	101980
1086	121283	101868
1087	121384	101748
1088	121491	101633
1089	121596	101516
1090	121701	101399
1091	121809	101284
1092	121935	101185
1093	122043	101070
1094	122154	100959
1095	122257	100840
1096	122367	100727
1097	122481	100618
1098	122588	100502
1099	122692	100385
1100	122802	100271
1101	122911	100158
1102	123020	100044
1103	123128	99930
1104	123242	99821
1105	123353	99708
1106	123464	99596
1107	123573	99483
1108	123682	99369
1109	123788	99254
1110	123903	99144
1111	124007	99027
1112	124130	98925
1113	124251	98821
1114	124351	98700
1115	124473	98597
1116	124590	98490
1117	124700	98377
1118	124809	98263
1119	124922	98153
1120	125034	98042
1121	125155	97937
1122	125263	97824
1123	125376	97713
1124	125488	97602
1125	125593	97485
1126	125710	97378
1127	125826	97270
1128	125940	97160
1129	126060	97055
1130	126172	96944
1131	126272	96823
1132	126383	96712
1133	126485	96592
1134	126591	96477
1135	126689	96355
1136	126801	96244
1137	126894	96119
1138	127004	96005
1139	127110	95890
1140	127222	95779
1141	127328	95663
1142	127437	95549
1143	127536	95429
